fileid,prediction
MLSP_test1053175.npy,Bark
MLSP_test1071.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test1077269.npy,Knock
MLSP_test1116162.npy,Meow
MLSP_test113179.npy,Bark
MLSP_test1134284.npy,Meow
MLSP_test1140162.npy,Microwave_oven
MLSP_test1163322.npy,Meow
MLSP_test1186185.npy,Meow
MLSP_test1192345.npy,Meow
MLSP_test1194176.npy,Meow
MLSP_test1205141.npy,Meow
MLSP_test1216256.npy,Meow
MLSP_test1235269.npy,Meow
MLSP_test1277465.npy,Meow
MLSP_test1289164.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test1301172.npy,Meow
MLSP_test130220.npy,Siren
MLSP_test1306499.npy,Meow
MLSP_test130845.npy,Meow
MLSP_test132489.npy,Meow
MLSP_test1328457.npy,Meow
MLSP_test1353495.npy,Microwave_oven
MLSP_test1357311.npy,Microwave_oven
MLSP_test1362223.npy,Microwave_oven
MLSP_test1373407.npy,Microwave_oven
MLSP_test1379148.npy,Microwave_oven
MLSP_test1395138.npy,Microwave_oven
MLSP_test1404304.npy,Meow
MLSP_test140846.npy,Doorbell
MLSP_test1443477.npy,Microwave_oven
MLSP_test1451403.npy,Microwave_oven
MLSP_test1457299.npy,Shatter
MLSP_test1458291.npy,Microwave_oven
MLSP_test1475459.npy,Microwave_oven
MLSP_test149028.npy,Microwave_oven
MLSP_test1498106.npy,Microwave_oven
MLSP_test1515407.npy,Microwave_oven
MLSP_test1516233.npy,Microwave_oven
MLSP_test1524204.npy,Walk_and_footsteps
MLSP_test1553343.npy,Shatter
MLSP_test1582420.npy,Shatter
MLSP_test1602453.npy,Walk_and_footsteps
MLSP_test1649169.npy,Microwave_oven
MLSP_test1683220.npy,Knock
MLSP_test1706153.npy,Microwave_oven
MLSP_test17186.npy,Knock
MLSP_test173438.npy,Walk_and_footsteps
MLSP_test1778475.npy,Doorbell
MLSP_test1798478.npy,Doorbell
MLSP_test1805429.npy,Shatter
MLSP_test1810394.npy,Shatter
MLSP_test1820283.npy,Shatter
MLSP_test182273.npy,Shatter
MLSP_test18380.npy,Bark
MLSP_test1865154.npy,Shatter
MLSP_test192098.npy,Shatter
MLSP_test1968494.npy,Shatter
MLSP_test198998.npy,Shatter
MLSP_test20111.npy,Bark
MLSP_test2012248.npy,Shatter
MLSP_test205489.npy,Siren
MLSP_test206085.npy,Siren
MLSP_test2061309.npy,Bark
MLSP_test2062232.npy,Siren
MLSP_test2065366.npy,Siren
MLSP_test2068447.npy,Siren
MLSP_test2071356.npy,Microwave_oven
MLSP_test2072214.npy,Siren
MLSP_test2073257.npy,Bark
MLSP_test2074455.npy,Siren
MLSP_test2077439.npy,Siren
MLSP_test2081207.npy,Siren
MLSP_test2082223.npy,Siren
MLSP_test2085405.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test208923.npy,Siren
MLSP_test2090121.npy,Siren
MLSP_test2091205.npy,Siren
MLSP_test2098444.npy,Siren
MLSP_test210764.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test2108410.npy,Crying_and_sobbing
MLSP_test2109311.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test2115430.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test213499.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test2142247.npy,Vehicle_horn_and_car_horn_and_honking
MLSP_test2144237.npy,Meow
MLSP_test2153476.npy,Bark
